BugName,Notes,TBar-time,TBar-10k,CURE-10k,SequenceR-50,Hercules-NFL,SimFix,fixminer,dlfix,acs,capgen-NFL,PAR,SOFix,PraPR,JAID,SketchFix,LSRepair,ssFix,NPEFix,Ratchet,Codit,AVATAR,CoCoNut,ARJA,GenProg,MutRepair,kPAR,RSRepair,Kali,Dynamoth,Nopol,Cardumen,VFix,iFixR,ConFix,Restore,HDRepair,,,file_no,class_no,method_no,line_no,add_line_no,del_line_no,mod_line_no,chunk_no,fail_test_no,action_no,pattern_no,First exception,add_char_no,del_char_no,node_match,insert_node,delete_node,update_node,move_tree,insert_tree,delete_tree
Clos 22,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,26,0,24,2,5,1,8,5,AssertionFailedError,74,820,686,0,10,2,5,0,8
Clos 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,6,0,1,2,1,5,2,AssertionFailedError,78,21,5395,4,4,1,3,1,0
Clos 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5,2,1,2,4,1,4,3,AssertionFailedError,111,38,1652,10,8,0,9,2,0
Clos 25,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,2,4,0,4,1,5,2,ComparisonFailure,73,141,5597,2,2,0,0,2,2
Clos 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5,5,0,0,3,7,5,2,AssertionFailedError,149,0,1180,3,3,0,0,3,0
Clos 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,6,3,0,3,3,3,6,3,IllegalStateException,232,148,2546,3,3,3,0,1,0
Clos 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,4,0,0,1,2,3,2,AssertionFailedError,53,0,245,0,0,0,0,1,0
Clos 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,10,10,0,0,3,5,6,3,AssertionFailedError,288,0,1658,5,5,0,0,4,0
Clos 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,10,8,0,2,6,3,9,6,AssertionFailedError,193,77,3230,8,7,1,2,4,1
Clos 31,,3,2,,,,,,,,,,,3,3,,,,,,,,3,,,,3,,,,,,,,,3,,,,1,1,1,1,0,1,0,1,1,1,2,AssertionFailedError,0,25,8660,3,3,0,0,0,1
Clos 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,18,15,3,0,6,4,8,3,ComparisonFailure,382,48,7844,7,4,0,1,7,0
Clos 33,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,1,3,3,0,0,1,1,3,1,AssertionFailedError,33,0,1876,2,2,0,0,1,0
Clos 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,5,0,2,3,3,1,5,3,StackOverflowError,107,94,6972,12,15,7,6,1,1
Clos 35,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,15,0,13,2,1,1,7,2,AssertionFailedError,36,471,5698,2,20,2,6,0,11
Clos 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,0,0,1,1,3,2,AssertionFailedError,77,0,2651,5,5,0,0,1,0
Clos 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,5,4,0,1,3,1,5,2,RuntimeException,114,16,7593,9,8,0,0,1,0
Clos 38,,3,3,3,,,,3,,,,,,,,,,,,,,3,3,,,,3,,,,,,,,3,,,,,1,1,1,1,0,0,1,1,1,1,2,ComparisonFailure,19,2,780,4,0,0,1,0,0
Clos 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,0,0,3,3,2,5,3,ComparisonFailure,111,50,1786,7,2,1,2,2,0
Clos 40,,3,3,3,,,,,3,,,,,,3,,,,,,,,3,,,,3,,,,,,,,,3,,,,1,1,1,3,0,2,1,2,2,2,2,RuntimeException,6,27,6402,3,5,1,9,0,1
Clos 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,9,9,0,0,2,3,4,3,AssertionFailedError,242,0,3056,3,3,0,0,2,0
Clos 42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,7,0,0,2,1,3,2,AssertionFailedError,184,0,5136,5,5,0,0,1,0
Clos 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,17,17,0,0,4,2,6,5,ComparisonFailure,420,0,7862,9,7,0,1,5,0
Clos 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,0,0,2,1,2,1,ComparisonFailure,58,0,757,0,0,0,0,1,0
Clos 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,6,4,0,2,4,1,8,4,AssertionFailedError,161,62,3416,7,6,3,5,2,0
Clos 46,full method del,3,3,3,,,,3,,,,,,3,,,,,,3,,3,3,,,,,,,,,,,,,3,,,,1,1,1,16,0,16,0,1,3,9,3,AssertionFailedError,0,482,874,0,0,0,0,0,1
Clos 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,8,5,0,3,3,16,5,2,AssertionFailedError,271,111,3376,12,3,0,3,2,0
Clos 48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,3,0,4,2,1,6,2,AssertionFailedError,170,103,7756,13,19,0,5,3,0
Clos 49,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,22,14,8,0,8,66,10,4,AssertionFailedError,334,316,2018,4,9,3,3,5,1
Clos 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,5,0,1,3,2,3,3,AssertionFailedError,190,35,2766,4,2,0,1,2,0
Clos 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,1,1,1,0,0,1,1,1,2,2,ComparisonFailure,24,2,722,2,0,0,1,2,0
Clos 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,2,2,ComparisonFailure,24,2,4848,4,2,0,1,1,0
